REG_NO,FULL_NAME,UNIVERSITY_EMAIL,DEPARTMENT
2025-DS-41,Ali Hamza,alihamza@uet.pk,Data Science
2025-DS-42,Ahmed Raza,ahmedraza@uet.pk,Data Science
2025-DS-43,Muhammad Umer,muhammadumer@uet.pk,Data Science
2025-DS-44,Hassan Ali,hassanali@uet.pk,Data Science
2025-DS-45,Usman Khan,usmankhan@uet.pk,Data Science
2025-DS-46,Bilal Ahmed,bilalahmed@uet.pk,Data Science
2025-DS-47,Awais Iqbal,awaisiqbal@uet.pk,Data Science
2025-DS-48,Saad Anwar,saadanwar@uet.pk,Data Science
2025-DS-49,Fahad Malik,fahadmalik@uet.pk,Data Science
2025-DS-50,Zain Abbas,zainabbas@uet.pk,Data Science
2025-DS-51,Abdullah Shah,abdullahshah@uet.pk,Data Science
2025-DS-52,Huzaifa Noor,huzaifanoor@uet.pk,Data Science
2025-DS-53,Talha Siddiq,talhasiddiq@uet.pk,Data Science
2025-DS-54,Hamza Farooq,hamzafarooq@uet.pk,Data Science
2025-DS-55,Danish Ali,danishali@uet.pk,Data Science
2025-DS-56,Shahzaib Khan,shahzaibkhan@uet.pk,Data Science
2025-DS-57,Muneeb Ahmed,muneebahmed@uet.pk,Data Science
2025-DS-58,Ibrahim Raza,ibrahimraza@uet.pk,Data Science
2025-DS-59,Arslan Javed,arslanjaved@uet.pk,Data Science
2025-DS-60,Rehan Tariq,rehantariq@uet.pk,Data Science
2025-DS-61,Imran Hussain,imranhussain@uet.pk,Data Science
2025-DS-62,Adnan Sheikh,adnansheikh@uet.pk,Data Science
2025-DS-63,Farhan Saeed,farhansaeed@uet.pk,Data Science
2025-DS-64,Waqas Ahmad,waqasahmad@uet.pk,Data Science
2025-DS-65,Noman Ali,nomanali@uet.pk,Data Science
2025-DS-66,Rizwan Akhtar,rizwanakhtar@uet.pk,Data Science
2025-DS-67,Sami Ullah,samiullah@uet.pk,Data Science
2025-DS-68,Shayan Khan,shayankhan@uet.pk,Data Science
2025-DS-69,Ubaid Rauf,ubaidrauf@uet.pk,Data Science
2025-DS-70,Adeel Hassan,adeelhassan@uet.pk,Data Science
2025-DS-71,Taha Aslam,tahaaslam@uet.pk,Data Science
2025-DS-72,Yasir Mehmood,yasirmehmood@uet.pk,Data Science
2025-DS-73,Kamran Ilyas,kamranilyas@uet.pk,Data Science
2025-DS-74,Salman Butt,salmanbutt@uet.pk,Data Science
2025-DS-75,Junaid Ashraf,junaidashraf@uet.pk,Data Science
2025-DS-76,Moiz Ahmed,moizahmed@uet.pk,Data Science
2025-DS-77,Shafay Khan,shafaykhan@uet.pk,Data Science
2025-DS-78,Anas Mahmood,anasmahmood@uet.pk,Data Science
2025-DS-79,Shoaib Raza,shoaibraza@uet.pk,Data Science
2025-DS-80,Ahsan Latif,ahsanlatif@uet.pk,Data Science
2025-DS-81,Haris Ali,harisali@uet.pk,Data Science
2025-DS-82,Zeeshan Haider,zeeshanhaider@uet.pk,Data Science
2025-DS-83,Mustafa Qureshi,mustafaqureshi@uet.pk,Data Science
2025-DS-84,Saqlain Abbas,saqlainabbas@uet.pk,Data Science
2025-DS-85,Naveed Iqbal,naveediqbal@uet.pk,Data Science
2025-DS-86,Owais Rafiq,owaisrafiq@uet.pk,Data Science
2025-DS-87,Furqan Ali,furqanali@uet.pk,Data Science
2025-DS-88,Sameer Khan,sameerkhan@uet.pk,Data Science
2025-DS-89,Basit Hussain,basithussain@uet.pk,Data Science
2025-DS-90,Qasim Shah,qasimshah@uet.pk,Data Science
2025-DS-91,Hammad Raza,hammadraza@uet.pk,Data Science
2025-DS-92,Kashif Ali,kashifali@uet.pk,Data Science
2025-DS-93,Nouman Siddique,noumansiddique@uet.pk,Data Science
2025-DS-94,Ali Zubair,alizubair@uet.pk,Data Science
2025-DS-95,Faizan Ahmed,faizanahmed@uet.pk,Data Science
2025-DS-96,Shahmeer Khan,shahmeerkhan@uet.pk,Data Science
2025-DS-97,Ammar Yousaf,ammaryousaf@uet.pk,Data Science
2025-DS-98,Azhar Mehmood,azharmehmood@uet.pk,Data Science
2025-DS-99,Mikail Hasan,mikailhasan@uet.pk,Data Science
2025-DS-100,Taimoor Raza,taimoorraza@uet.pk,Data Science
2025-DS-101,Waleed Khan,waleedkhan@uet.pk,Data Science
2025-DS-102,Sufyan Ali,sufyanali@uet.pk,Data Science
2025-DS-103,Shujaat Hussain,shujaathussain@uet.pk,Data Science
2025-DS-104,Rayan Ahmed,rayanahmed@uet.pk,Data Science
2025-DS-105,Zubair Malik,zubairmalik@uet.pk,Data Science
2025-DS-106,Asad Khan,asadkhan@uet.pk,Data Science
2025-DS-107,Hamdan Rauf,hamdanrauf@uet.pk,Data Science
2025-DS-108,Naeem Abbas,naeemabbas@uet.pk,Data Science
2025-DS-109,Dawood Ilyas,dawoodilyas@uet.pk,Data Science
2025-DS-110,Arif Hussain,arifhussain@uet.pk,Data Science
2025-DS-111,Rafay Ahmed,rafayahmed@uet.pk,Data Science
